Location,Address,Description,Phones,Mobiles,Fax,Contact,Email,Website
Angeles City,"EXP 233B 2/F Wellness Zone, SM City Clark, M.A. Roxas St., Angeles City","Travel and tours, passporting, ticketing, visa assistance",(63 45) 499-0357 / 0358 / (02) 697-3225 (,Missing,Missing,Gilda Padua ,tiesthattravel@gmail.com,www.tiesthattravelph.com
Missing,"Level 1, Robinson's Starmills, City of San Fernando, Pampanga","Travel and tours, visa assistance, passport assistance","(63 45) 875-2112 / 636-3624
",Missing,"(63 45) 875-2113
","Ma. Lourdes Legaspi - General Manager
Phone ",tonkatraveltours@yahoo.com,Missing
Angeles City,"CDC Stall #66, Fields Avenue, Balibago, Angeles City",Travel and tours,"(63 45) 625-6322 / 892-0478
",Missing,Missing,"Alfonso Asuncion
Email touraine_travel",touraine_travel@yahoo.com,Missing
Angeles City,"Stall 3 Medi Spa Bldg., Narciso St., Josefa Subd., Malabanias, Angeles City","Travel and tours, ticketing, passport assistance, visa assistance","(63 45) 331-2323 / 624-1140 / 889-8472
","0916-539-8008
","(63 45) 894-6556
",Randy Bonifacio - General Manager ,trancetravelcenter@yahoo.com,www.trancetravelcenter.com
"City of San Fernando, Pampanga","Ernesto Plaza, Brgy. San Agustin, MacArthur Hwy., City of San Fernando, Pampanga",Travel and tours,"(63 45) 963-6336 / 455-4415
",Missing,Missing,"Ron Pineda
Email travel.com75",travel.com75@yahoo.com,www.traveledotcomonline.com
"Talavera, Nueva Ecija","Nocum St., beside Municipal Gym, Maestrang Kikay, Talavera, Nueva Ecija",Travel and tours,"(63 44) 411-0946 / 0922-818-7167
",Missing,Missing,"Oliver Cu
Email travelexpress.tours",travelexpress.tours@yahoo.com,Missing
"City of San Fernando, Pampanga","Level 2 Lot 2, 123 Robinson's Starmills, San Jose, City of San Fernando, Pampanga","Visa assistance, passport, tour packages",(63 45) 875-2342/636-3592 (,Missing,"(63 45) 636-3592
","Person Alma Gamboa
Email alg_travelport",alg_travelport@yahoo.com,Missing
Angeles City,"620 Don Juico Ave., Malabanas, Angeles City",travel and tours,"(63 45) 892-1623
","0908-730-3810 / 0926-624-9143
",Missing,Georgina Rebanal ,info@travel-scout.ph,www.travel-scout.ph
Angeles City,"G/F Walkabout Hotel, Lot 2 Fields Ave., Balibago, Angeles City",Travel and tours,"(63 45) 331-1675 / 0999-130-1389
",Missing,Missing,"Simonette Sanchez
Email ultimatejourney2012",ultimatejourney2012@yahoo.com,Missing
"City of San Fernando, Pampanga","G/F Sam Bldg., San Agustin, City of San Fernando, Pampanga",Travel and tours,"(63 45) 455-3959
",Missing,Missing,"Jaymart Regala
Email rolandoc.uasales",rolandoc.uasales@gmail.com,Missing
Cabanatuan City,"Unit 8 2/F Sam Bldg.,Maharlika Hwy., Quezon District, Cabanatuan City",Travel and tours,"(63 44) 464-7579
",Missing,Missing,"Rosemarie Tadique
Email uprighttravelandtours",uprighttravelandtours@ymail.com,Missing
Tarlac,"588 Ves Food House, Jimenez St., Capas, Tarlac",Travel and tours,"(63 45) 491-3467
","0917-548-6247
",Missing,"Mary Joyce Ann Sibal
Email vestravelandtours",vestravelandtours@yahoo.com,Missing
Angeles City,"Wild Orchid Hotel cor. Johnny's and A. Santos Sts., Balibago, Angeles City","Travel and tours, ticketing, visa, assistance, passport processing","(63 45) 625-6396
",Missing,"(63 45) 625-6397
",Nigel Wakley ,wildorchidtravel@yahoo.com,www.wildorchidresort.com
Angeles City,"303 Malabanas Rd., Plaridel I, Angeles City",Travel and tours,"(63 45) 892-1697/2585
",Missing,"(63 45) 892-2878
","Person Gerard Sigua - General Manager
Email gerry_sigua",gerry_sigua@yahoo.com,www.whiteorchidtravel.com
Angeles City,"Lot 18-19, Camias St., Brgy. Cutcut, Angeles City",Travel and tours,"(63 45) 436-0533 / 0921-520-9325 / 0927-683-8672
",Missing,Missing,"Gilyn Lutrana
Email wowpampangatravelagency",wowpampangatravelagency@yahoo.com.ph,Missing
Missing,"408-D Cerin Bldg., Dicarma, Maharlika Hwy., Cabanatuan City",Travel & tours,"(63 44) 463-8494/2918/1363/600-5247
","0917-566-8150
",Missing,"Juliet Mamawal
Email vincemart_travel2004",vincemart_travel2004@yahoo.com,Missing
Subic Bay Freeport,"Unit D1-640 Sampson Rd., Subic Bay Freeport",travel and tours,"(63 47) 252-6306
",Missing,"(63 47) 252- 6304
","Ms. Rosemarie Alcazar-Lee
Email",Missing,Missing
Cabanatuan City,"Chua Bldg.,Maharlika Hwy., Zulueta St., Cabanatuan City, Nueva Ecija","travel and tours, visa assistance, passport assistance, tour packages,","(63 44) 463-1010 / 806-1010 / 600-5050
",Missing,Missing,Elisa Gabaldon ,esgzealand@yahoo.com,Missing
"Balanga City, Bataan","Rm. 208 MLW Bldg., Sampanguita St., San Jose, Balanga City, Bataan",Travel and tours,"(63 47) 612-1440 / 1459 / 0920-967-6676
",Missing,Missing,"Anita Montefalco
Email zseannetravel",zseannetravel@yahoo.com,Missing
